timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1683613559.784556 0.06918532 -0.08434644 0.00623050 -0.00163610 0.00199116 -0.00083789
1683613559.851271 0.06221053 -0.07768520 0.00477751 -0.00143655 0.00202573 -0.00079600
1683613559.917986 0.05536992 -0.07088250 0.00348763 -0.00165737 0.00221775 -0.00077346
1683613559.984701 0.05549406 -0.07209317 0.00404735 -0.00146543 0.00253846 -0.00020779
1683613560.051417 0.05233920 -0.07060069 0.00328770 -0.00156454 0.00247747 -0.00030243
1683613560.118133 0.04892795 -0.07052747 0.00300452 -0.00120125 0.00260057 0.00018406
1683613560.184849 0.05370140 -0.07417082 0.00430078 -0.00110474 0.00252090 0.00013808
1683613560.251565 0.04771295 -0.07174178 0.00303388 -0.00083347 0.00258955 0.00033745
1683613560.318280 0.04572913 -0.07104674 0.00257719 -0.00073202 0.00254070 0.00041971
1683613560.384997 0.04469509 -0.06967407 0.00188456 -0.00066354 0.00251546 0.00034474
1683613560.451712 0.03928175 -0.06824793 0.00014955 -0.00046896 0.00251490 0.00032452
1683613560.518429 0.03541750 -0.06548186 -0.00114012 -0.00063145 0.00285264 0.00038521
1683613560.585145 0.02520376 -0.06707485 -0.00147465 -0.00077340 0.00332195 0.00038216
1683613560.651860 0.01679719 -0.06851721 -0.00271441 -0.00087572 0.00368085 0.00040810
1683613560.718576 0.01367739 -0.06817172 -0.00185898 -0.00095608 0.00371189 0.00034314
1683613560.785292 0.01820815 -0.06753538 -0.00118638 -0.00094113 0.00354073 0.00029106
1683613560.852009 0.02635341 -0.06800979 -0.00107365 -0.00081119 0.00348606 0.00030642
1683613560.918725 0.02659824 -0.06887059 -0.00106676 -0.00074034 0.00335003 0.00032113
1683613560.985440 0.02538037 -0.06853663 -0.00095636 -0.00076962 0.00328150 0.00032067
1683613561.052155 0.02929101 -0.06844380 -0.00065393 -0.00079444 0.00315102 0.00030873
1683613561.118870 0.03725633 -0.06883133 -0.00038961 -0.00074055 0.00291515 0.00026407
1683613561.185585 0.05507537 -0.06896885 0.00082987 -0.00076319 0.00259556 0.00019983
1683613561.252301 0.08255339 -0.07195229 0.00255136 -0.00053807 0.00235356 0.00004716
1683613561.319016 0.07674243 -0.07305382 0.00188496 -0.00055321 0.00213884 0.00003534
1683613561.385731 0.09220803 -0.07387641 0.00296504 -0.00041095 0.00178157 0.00006737
1683613561.452446 0.10227034 -0.07487519 0.00371746 -0.00035151 0.00142368 0.00013448
1683613561.519161 0.10616394 -0.07446240 0.00385833 -0.00027271 0.00127331 0.00027133
1683613561.585876 0.09960154 -0.07281928 0.00345935 -0.00042989 0.00103222 0.00017791
1683613561.652591 0.09516115 -0.07233683 0.00291109 -0.00031717 0.00103364 0.00021189
1683613561.719306 0.08758405 -0.07040186 0.00242540 -0.00047775 0.00103467 0.00004503
1683613561.786021 0.08006211 -0.06976753 0.00169203 -0.00049253 0.00121696 0.00013879
1683613561.852736 0.06925849 -0.06957126 0.00059332 -0.00045441 0.00140943 0.00046594
